Ruta;Nombre;Extension;LoTengo;Editorial;EstadoARG;EstadoJPN;UltimoTomoARG;UltimoTomoJPN;Siguiendo
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros09;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros10;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros11;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros12;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros13;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros14;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros15;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros16;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/FirePunch/;FirePunch01;.jpg;Si;Ivrea;Terminada;Terminada;8;8;Si
Mangas/FirePunch/;FirePunch02;.jpg;Si;Ivrea;Terminada;Terminada;8;8;Si
Mangas/FirePunch/;FirePunch03;.jpg;Si;Ivrea;Terminada;Terminada;8;8;Si
Mangas/FirePunch/;FirePunch04;.jpg;Si;Ivrea;Terminada;Terminada;8;8;Si
Mangas/FirePunch/;FirePunch05;.jpg;Si;Ivrea;Terminada;Terminada;8;8;Si
Mangas/FirePunch/;FirePunch06;.jpg;No;Ivrea;Terminada;Terminada;8;8;Si
Mangas/FirePunch/;FirePunch07;.jpg;No;Ivrea;Terminada;Terminada;8;8;Si
Mangas/FirePunch/;FirePunch08;.jpg;No;Ivrea;Terminada;Terminada;8;8;Si
Mangas/Gintama/;Gintama01;.jpg;Si;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama02;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama03;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama04;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama05;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama06;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama07;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama08;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama09;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
